"subj" "expt" "item" "condition" "pos" "word" "correct" "rt" "so" "rcpos" "region"
"2379" 29 "e1" 17 "a" "2" "的" "-" 701 -0.5 "3" "de"
"2391" 29 "e1" 1 "a" "2" "的" "-" 349 -0.5 "3" "de"
"2403" 29 "e1" 13 "a" "3" "的" "-" 369 -0.5 "3" "de"
"2413" 29 "e1" 3 "c" "2" "的" "-" 292 0.5 "3" "de"
"2423" 29 "e1" 19 "c" "2" "的" "-" 288 0.5 "3" "de"
"2433" 29 "e1" 7 "c" "2" "的" "-" 293 0.5 "3" "de"
"2445" 29 "e1" 15 "c" "2" "的" "-" 278 0.5 "3" "de"
"2458" 29 "e1" 11 "c" "3" "的" "-" 238 0.5 "3" "de"
"2469" 29 "e1" 5 "a" "2" "的" "-" 252 -0.5 "3" "de"
"2478" 29 "e1" 9 "a" "2" "的" "-" 253 -0.5 "3" "de"
"2489" 3 "e1" 1 "c" "2" "的" "-" 298 0.5 "3" "de"
"2500" 3 "e1" 17 "c" "2" "的" "-" 278 0.5 "3" "de"
"2512" 3 "e1" 7 "a" "2" "的" "-" 273 -0.5 "3" "de"
"2525" 3 "e1" 13 "c" "3" "的" "-" 237 0.5 "3" "de"
"2535" 3 "e1" 15 "a" "2" "的" "-" 228 -0.5 "3" "de"
"2547" 3 "e1" 19 "a" "2" "的" "-" 298 -0.5 "3" "de"
"2557" 3 "e1" 3 "a" "2" "的" "-" 243 -0.5 "3" "de"
"2567" 3 "e1" 9 "c" "2" "的" "-" 248 0.5 "3" "de"
"2578" 3 "e1" 5 "c" "2" "的" "-" 207 0.5 "3" "de"
"2588" 3 "e1" 11 "a" "3" "的" "-" 277 -0.5 "3" "de"
"2599" 30 "e1" 6 "c" "2" "的" "-" 491 0.5 "3" "de"
"2609" 30 "e1" 12 "a" "2" "的" "-" 391 -0.5 "3" "de"
"2622" 30 "e1" 14 "c" "2" "的" "-" 639 0.5 "3" "de"
"2636" 30 "e1" 2 "c" "2" "的" "-" 517 0.5 "3" "de"
"2646" 30 "e1" 8 "a" "2" "的" "-" 345 -0.5 "3" "de"
"2659" 30 "e1" 4 "a" "2" "的" "-" 438 -0.5 "3" "de"
"2670" 30 "e1" 16 "a" "2" "的" "-" 357 -0.5 "3" "de"
"2684" 30 "e1" 20 "a" "2" "的" "-" 701 -0.5 "3" "de"
"2695" 30 "e1" 18 "c" "2" "的" "-" 403 0.5 "3" "de"
"2705" 30 "e1" 10 "c" "2" "的" "-" 443 0.5 "3" "de"
"2715" 31 "e1" 5 "c" "2" "的" "-" 665 0.5 "3" "de"
"2725" 31 "e1" 13 "c" "3" "的" "-" 342 0.5 "3" "de"
"2735" 31 "e1" 15 "a" "2" "的" "-" 498 -0.5 "3" "de"
"2747" 31 "e1" 7 "a" "2" "的" "-" 443 -0.5 "3" "de"
"2759" 31 "e1" 3 "a" "2" "的" "-" 377 -0.5 "3" "de"
"2770" 31 "e1" 11 "a" "3" "的" "-" 418 -0.5 "3" "de"
"2781" 31 "e1" 17 "c" "2" "的" "-" 544 0.5 "3" "de"
"2793" 31 "e1" 19 "a" "2" "的" "-" 478 -0.5 "3" "de"
"2803" 31 "e1" 9 "c" "2" "的" "-" 382 0.5 "3" "de"
"2814" 31 "e1" 1 "c" "2" "的" "-" 710 0.5 "3" "de"
"2825" 32 "e1" 16 "c" "2" "的" "-" 695 0.5 "3" "de"
"2837" 32 "e1" 8 "c" "2" "的" "-" 574 0.5 "3" "de"
"2850" 32 "e1" 14 "a" "2" "的" "-" 569 -0.5 "3" "de"
"2864" 32 "e1" 4 "c" "2" "的" "-" 513 0.5 "3" "de"
"2876" 32 "e1" 20 "c" "2" "的" "-" 625 0.5 "3" "de"
"2887" 32 "e1" 18 "a" "2" "的" "-" 438 -0.5 "3" "de"
"2897" 32 "e1" 6 "a" "2" "的" "-" 428 -0.5 "3" "de"
"2907" 32 "e1" 12 "c" "2" "的" "-" 443 0.5 "3" "de"
"2921" 32 "e1" 10 "a" "2" "的" "-" 408 -0.5 "3" "de"
"2931" 32 "e1" 2 "a" "2" "的" "-" 398 -0.5 "3" "de"
"2941" 33 "e1" 17 "a" "2" "的" "-" 817 -0.5 "3" "de"
"2954" 33 "e1" 13 "a" "3" "的" "-" 453 -0.5 "3" "de"
"2964" 33 "e1" 15 "c" "2" "的" "-" 473 0.5 "3" "de"
"2976" 33 "e1" 9 "a" "2" "的" "-" 438 -0.5 "3" "de"
"2987" 33 "e1" 7 "c" "2" "的" "-" 559 0.5 "3" "de"
"2999" 33 "e1" 3 "c" "2" "的" "-" 392 0.5 "3" "de"
"3010" 33 "e1" 11 "c" "3" "的" "-" 357 0.5 "3" "de"
"3021" 33 "e1" 5 "a" "2" "的" "-" 438 -0.5 "3" "de"
"3030" 33 "e1" 19 "c" "2" "的" "-" 488 0.5 "3" "de"
"3040" 33 "e1" 1 "a" "2" "的" "-" 342 -0.5 "3" "de"
"3051" 34 "e1" 18 "c" "2" "的" "-" 655 0.5 "3" "de"
"3061" 34 "e1" 10 "c" "2" "的" "-" 1826 0.5 "3" "de"
"3071" 34 "e1" 4 "a" "2" "的" "-" 478 -0.5 "3" "de"
"3082" 34 "e1" 14 "c" "2" "的" "-" 428 0.5 "3" "de"
"3096" 34 "e1" 8 "a" "2" "的" "-" 489 -0.5 "3" "de"
"3109" 34 "e1" 2 "c" "2" "的" "-" 892 0.5 "3" "de"
"3119" 34 "e1" 12 "a" "2" "的" "-" 978 -0.5 "3" "de"
"3132" 34 "e1" 6 "c" "2" "的" "-" 705 0.5 "3" "de"
"3142" 34 "e1" 16 "a" "2" "的" "-" 403 -0.5 "3" "de"
"3156" 34 "e1" 20 "a" "2" "的" "-" 660 -0.5 "3" "de"
"3167" 35 "e1" 9 "c" "2" "的" "-" 312 0.5 "3" "de"
"3178" 35 "e1" 15 "a" "2" "的" "-" 241 -0.5 "3" "de"
"3190" 35 "e1" 1 "c" "2" "的" "-" 388 0.5 "3" "de"
"3202" 35 "e1" 11 "a" "3" "的" "-" 251 -0.5 "3" "de"
"3213" 35 "e1" 5 "c" "2" "的" "-" 231 0.5 "3" "de"
"3222" 35 "e1" 3 "a" "2" "的" "-" 256 -0.5 "3" "de"
"3232" 35 "e1" 17 "c" "2" "的" "-" 236 0.5 "3" "de"
"3244" 35 "e1" 19 "a" "2" "的" "-" 216 -0.5 "3" "de"
"3255" 35 "e1" 13 "c" "3" "的" "-" 201 0.5 "3" "de"
"3265" 35 "e1" 7 "a" "2" "的" "-" 251 -0.5 "3" "de"
"3277" 36 "e1" 20 "c" "2" "的" "-" 428 0.5 "3" "de"
"3288" 36 "e1" 4 "c" "2" "的" "-" 271 0.5 "3" "de"
"3300" 36 "e1" 14 "a" "2" "的" "-" 216 -0.5 "3" "de"
"3314" 36 "e1" 6 "a" "2" "的" "-" 256 -0.5 "3" "de"
"3324" 36 "e1" 16 "c" "2" "的" "-" 226 0.5 "3" "de"
"3336" 36 "e1" 18 "a" "2" "的" "-" 241 -0.5 "3" "de"
"3346" 36 "e1" 8 "c" "2" "的" "-" 226 0.5 "3" "de"
"3359" 36 "e1" 12 "c" "2" "的" "-" 216 0.5 "3" "de"
"3373" 36 "e1" 2 "a" "2" "的" "-" 246 -0.5 "3" "de"
"3383" 36 "e1" 10 "a" "2" "的" "-" 226 -0.5 "3" "de"
"3393" 37 "e1" 3 "c" "2" "的" "-" 488 0.5 "3" "de"
"3403" 37 "e1" 5 "a" "2" "的" "-" 700 -0.5 "3" "de"
"3412" 37 "e1" 19 "c" "2" "的" "-" 544 0.5 "3" "de"
"3422" 37 "e1" 7 "c" "2" "的" "-" 488 0.5 "3" "de"
"3434" 37 "e1" 1 "a" "2" "的" "-" 418 -0.5 "3" "de"
"3445" 37 "e1" 9 "a" "2" "的" "-" 408 -0.5 "3" "de"
"3456" 37 "e1" 15 "c" "2" "的" "-" 559 0.5 "3" "de"
"3469" 37 "e1" 11 "c" "3" "的" "-" 392 0.5 "3" "de"
"3480" 37 "e1" 17 "a" "2" "的" "-" 423 -0.5 "3" "de"
"3493" 37 "e1" 13 "a" "3" "的" "-" 488 -0.5 "3" "de"
"3503" 38 "e1" 12 "a" "2" "的" "-" 480 -0.5 "3" "de"
"3516" 38 "e1" 20 "a" "2" "的" "-" 398 -0.5 "3" "de"
"3527" 38 "e1" 14 "c" "2" "的" "-" 475 0.5 "3" "de"
"3541" 38 "e1" 6 "c" "2" "的" "-" 452 0.5 "3" "de"
"3551" 38 "e1" 2 "c" "2" "的" "-" 1474 0.5 "3" "de"
"3561" 38 "e1" 8 "a" "2" "的" "-" 449 -0.5 "3" "de"
"3574" 38 "e1" 10 "c" "2" "的" "-" 364 0.5 "3" "de"
"3584" 38 "e1" 16 "a" "2" "的" "-" 424 -0.5 "3" "de"
"3598" 38 "e1" 4 "a" "2" "的" "-" 392 -0.5 "3" "de"
"3609" 38 "e1" 18 "c" "2" "的" "-" 332 0.5 "3" "de"
"3620" 39 "e1" 11 "a" "3" "的" "-" 388 -0.5 "3" "de"
"3631" 39 "e1" 17 "c" "2" "的" "-" 402 0.5 "3" "de"
"3643" 39 "e1" 5 "c" "2" "的" "-" 342 0.5 "3" "de"
"3652" 39 "e1" 3 "a" "2" "的" "-" 1135 -0.5 "3" "de"
"3662" 39 "e1" 7 "a" "2" "的" "-" 413 -0.5 "3" "de"
"3674" 39 "e1" 9 "c" "2" "的" "-" 1084 0.5 "3" "de"
"3685" 39 "e1" 15 "a" "2" "的" "-" 367 -0.5 "3" "de"
"3698" 39 "e1" 13 "c" "3" "的" "-" 347 0.5 "3" "de"
"3708" 39 "e1" 19 "a" "2" "的" "-" 387 -0.5 "3" "de"
"3718" 39 "e1" 1 "c" "2" "的" "-" 418 0.5 "3" "de"
"3729" 4 "e1" 16 "c" "2" "的" "-" 520 0.5 "3" "de"
"3741" 4 "e1" 20 "c" "2" "的" "-" 505 0.5 "3" "de"
"3752" 4 "e1" 6 "a" "2" "的" "-" 374 -0.5 "3" "de"
"3762" 4 "e1" 18 "a" "2" "的" "-" 409 -0.5 "3" "de"
"3772" 4 "e1" 4 "c" "2" "的" "-" 343 0.5 "3" "de"
"3784" 4 "e1" 2 "a" "2" "的" "-" 313 -0.5 "3" "de"
"3794" 4 "e1" 14 "a" "2" "的" "-" 353 -0.5 "3" "de"
"3808" 4 "e1" 12 "c" "2" "的" "-" 339 0.5 "3" "de"
"3822" 4 "e1" 10 "a" "2" "的" "-" 253 -0.5 "3" "de"
"3832" 4 "e1" 8 "c" "2" "的" "-" 263 0.5 "3" "de"
"3845" 40 "e1" 2 "a" "2" "的" "-" 397 -0.5 "3" "de"
"3855" 40 "e1" 14 "a" "2" "的" "-" 771 -0.5 "3" "de"
