"subj" "item" "condition" "rt" "rcpos"
"4630" "12.dat" 18 "a" 274 "1"
"4631" "12.dat" 18 "a" 211 "2"
"4632" "12.dat" 18 "a" 228 "3"
"4633" "12.dat" 18 "a" 1903 "4"
"4634" "12.dat" 18 "a" 273 "5"
"471910" "12.dat" 9 "d" 1270 "1"
"47201" "12.dat" 9 "d" 635 "2"
"47215" "12.dat" 9 "d" 358 "3"
"4722" "12.dat" 9 "d" 2000 "4"
"4723" "12.dat" 9 "d" 355 "5"
"47771" "12.dat" 5 "d" 409 "1"
"47781" "12.dat" 5 "d" 1631 "2"
"47792" "12.dat" 5 "d" 1042 "3"
"47806" "12.dat" 5 "d" 4032 "4"
"47811" "12.dat" 5 "d" 409 "5"
"4799" "12.dat" 17 "d" 2764 "1"
"48004" "12.dat" 17 "d" 301 "2"
"48011" "12.dat" 17 "d" 454 "3"
"48025" "12.dat" 17 "d" 1450 "4"
"48031" "12.dat" 17 "d" 409 "5"
"48701" "12.dat" 16 "c" 544 "1"
"4871" "12.dat" 16 "c" 319 "2"
"4872" "12.dat" 16 "c" 1314 "3"
"4873" "12.dat" 16 "c" 2474 "4"
"4874" "12.dat" 16 "c" 318 "5"
"4927" "12.dat" 1 "d" 1405 "1"
"4928" "12.dat" 1 "d" 635 "2"
"4929" "12.dat" 1 "d" 364 "3"
"4930" "12.dat" 1 "d" 1269 "4"
"4931" "12.dat" 1 "d" 364 "5"
"4959" "12.dat" 24 "c" 390 "1"
"4960" "12.dat" 24 "c" 504 "2"
"4961" "12.dat" 24 "c" 454 "3"
"4962" "12.dat" 24 "c" 298 "4"
"4963" "12.dat" 24 "c" 1854 "5"
"5055" "13.dat" 8 "d" 680 "1"
"5056" "13.dat" 8 "d" 1813 "2"
"5057" "13.dat" 8 "d" 590 "3"
"5058" "13.dat" 8 "d" 816 "4"
"5059" "13.dat" 8 "d" 635 "5"
"51661" "13.dat" 16 "d" 454 "1"
"51675" "13.dat" 16 "d" 454 "2"
"51681" "13.dat" 16 "d" 454 "3"
"51698" "13.dat" 16 "d" 454 "4"
"51701" "13.dat" 16 "d" 499 "5"
"5190" "13.dat" 4 "d" 454 "1"
"5191" "13.dat" 4 "d" 680 "2"
"5192" "13.dat" 4 "d" 499 "3"
"5193" "13.dat" 4 "d" 544 "4"
"5194" "13.dat" 4 "d" 1224 "5"
"5223" "13.dat" 24 "d" 454 "1"
"5224" "13.dat" 24 "d" 454 "2"
"52251" "13.dat" 24 "d" 454 "3"
"52266" "13.dat" 24 "d" 392 "4"
"52271" "13.dat" 24 "d" 454 "5"
"5276" "13.dat" 2 "b" 409 "1"
"5277" "13.dat" 2 "b" 617 "2"
"5278" "13.dat" 2 "b" 526 "3"
"5279" "13.dat" 2 "b" 364 "4"
"5280" "13.dat" 2 "b" 635 "5"
"5306" "13.dat" 13 "a" 590 "1"
"5307" "13.dat" 13 "a" 635 "2"
"5308" "13.dat" 13 "a" 499 "3"
"5309" "13.dat" 13 "a" 454 "4"
"5310" "13.dat" 13 "a" 590 "5"
"53807" "13.dat" 6 "b" 499 "1"
"53811" "13.dat" 6 "b" 499 "2"
"53821" "13.dat" 6 "b" 680 "3"
"538310" "13.dat" 6 "b" 590 "4"
"53842" "13.dat" 6 "b" 907 "5"
"5454" "13.dat" 3 "c" 364 "1"
"5455" "13.dat" 3 "c" 590 "2"
"5456" "13.dat" 3 "c" 409 "3"
"5457" "13.dat" 3 "c" 499 "4"
"5458" "13.dat" 3 "c" 454 "5"
"5488" "13.dat" 14 "b" 681 "1"
"5489" "13.dat" 14 "b" 409 "2"
"5490" "13.dat" 14 "b" 499 "3"
"5491" "13.dat" 14 "b" 499 "4"
"5492" "13.dat" 14 "b" 409 "5"
"5549" "13.dat" 1 "a" 590 "1"
"5550" "13.dat" 1 "a" 635 "2"
"5551" "13.dat" 1 "a" 499 "3"
"5552" "13.dat" 1 "a" 545 "4"
"5553" "13.dat" 1 "a" 499 "5"
"5575" "13.dat" 12 "d" 319 "1"
"5576" "13.dat" 12 "d" 409 "2"
"5577" "13.dat" 12 "d" 391 "3"
"5578" "13.dat" 12 "d" 302 "4"
"5579" "13.dat" 12 "d" 319 "5"
"5594" "13.dat" 22 "b" 726 "1"
"5595" "13.dat" 22 "b" 590 "2"
"5596" "13.dat" 22 "b" 409 "3"
"5597" "13.dat" 22 "b" 499 "4"
"5598" "13.dat" 22 "b" 662 "5"
"5653" "13.dat" 10 "b" 409 "1"
"5654" "13.dat" 10 "b" 544 "2"
"5655" "13.dat" 10 "b" 364 "3"
"5656" "13.dat" 10 "b" 391 "4"
"5657" "13.dat" 10 "b" 454 "5"
"5701" "13.dat" 7 "c" 402 "1"
"5702" "13.dat" 7 "c" 547 "2"
"5703" "13.dat" 7 "c" 418 "3"
"5704" "13.dat" 7 "c" 404 "4"
"5705" "13.dat" 7 "c" 403 "5"
"5746" "13.dat" 15 "c" 409 "1"
"5747" "13.dat" 15 "c" 364 "2"
"5748" "13.dat" 15 "c" 364 "3"
"5749" "13.dat" 15 "c" 319 "4"
